5 GHz VS 2 GHz,"5 GHz higher bandwidth, more channels and less crowded than 2.4 GHz, but range lower. 2.4 GHz range higher but slower bandwidth, fewer channels and more crowded."
802.11 Standards,"802.11 - 2.4 GHz, up to 2 Mbps. 802.11a - 5 GHz, up to 54 Mbps, small coverage, not interoperable w. 802.11b and 802.11g. 802.11b - 2.4 GHz, up to 11 Mbps, longer range than 802.11a. 802.11g - 2.4 GHz, up to 54 Mbps, backwards compatible w. 802.11b w. reduced bandwidth capacity. 802.11n - 2.4 & 5 GHz, range from 150 Mbps to 600 Mbps, up to 70m range, APs & clients need multiple antennas using MIMO technology, backwards compatible w. 802.11a/b/g devices w. limiting data rates. 802.11ac - 5 GHz, range from 450 Mbps to 1.3 Gbps using MIMO technology, backwards compatible with 802.11a/n devices. 802.11ax - 2.4 & 5 GHz, a.k.a. Wi-Fi 6 or High-Efficiency Wireless (HEW), better power efficncy., higher data rates, handle many devices. Will use 1 & 7 GHz when available."
802.1X,"Client - Supplicant, Switch - Authenticator, Authentication Server"
A company uses a cloud-based payroll system. Which cloud computing technology is this company using?,Software as a service (SaaS)
AAA,"Authentication, Authorization, Accounting.  Authentication - Usernames and passwords to verify the user's identity. Authorization - Controls what users can and cannot do on the network. Accounting - Collects and reports usage data, for auditing or billing. Uses TACAS+ and RADIUS to authenticate users on a central db."
Access Internet,Any address with the 10 in the first octet (e.g. 10.0.10.0) is private IPv4 and need to use Network Address Translation (NAT) to convert private IPv4 address to internet-routable IPv4 addresses.
Access port ,A switch port that sends and expects traffic with no VLAN tag. Only for 1 vlan.port send/expects to receive tagged traffic. 
Advantage of Cisco Router as relay agent ,"Provides relay services for multiple UDP services, e.g. Port 37 Times, Port 53 DNS, etc."
Alleviate Network Congestion,"Fast port speeds - more data transfer per second, but more expensive; Fast internal switching - fast internal bus or shared memory; Large frame buffers - Store more frames instead of drop them, good for duplex mismatch. High port density - more ports, local traffic, less switches needed, less collisions."
AP Broadcast Frame,"AP may regularly broadcast beacons. Probing, authentication and association frames are used only during association/reassociation process."
AP Discovery,A wireless NIC will send probe requests and receive broadcast beacon frames to discover an AP.
AP Modes,"Passive - AP periodically sends broadcast beacon frames containing SSID, supported standards, security settings. Active - Hidden and clients need to know the name of the SSID. Client sends a probe request."
Auto-MDIX ,Auto configures the port to allow device connections to use either straight-through or crossover cable.<br><b>Turn on MDIX (interface config): </b><samp>auto mdix</samp><br><b>Display info about auto-MDIX setting: </b><samp>show controllers ethernet-controller <interface> phy</samp>
Before creating WLAN,Create a new VLAN interface. Each WLAN on Cisco 3500 WLC needs its own VLAN interface.
Benefits of cloud computing and virtualization,"<ul><li>Provides a ""pay-as-you-go"" model, allowing organizations to treat computing and storage expenses as a utility</li><li>Enables rapid responses to increasing data volume requirements</li><li>Company does not need to be concerned about how to handle increasing data storage and processing demands with in-house data center equipment.</li><li>Company can increase processing and storage capacity as needed and then decrease capacity when it is no longer needed.</li></ul>"
Best Practice - CDP & LLDP,Disable both protocols on interfaces where they are not required.
Best Practice - Home WAP,"Wireless network password, AP password, SSID"
Blocked ports ,"Not root nor designated port so, blocked."
Boot Sequence ,"Power-on self-test (POST) > Boot Loader > CPU init. > Flash memory init. > BOOT envr. varbl. locates IOS, IOS takes over."
BPDU,Bridge Protocol Data Units (BPDUs) share info about themselves and their connections and are used to elect the root port.
Bridge ID (BID) Components ,REDIRECT:Bridge Protocol Data Units (BPDU)
Bridge Protocol Data Units (BPDU) ,"Bridge Priority (4 bits), Extended System ID (12 bits), MAC Address (48 bits). See Root Bridge Election"
Broadcast Domain ,"Where broadcast frames will reach. L2 switches, hubs and bridges extend the broadcast domain. Routers divide domains since they block broadcasts. Link between routers counts as broadcast domain."
Broadcast Storm ,Abnormally high number of broadcasts overwhelming the network during a specific amount of time.
CAPWAP,"IEEE standard procotol, provides encapsulation & forwarding of wireless user traffic btwn AP and WLC."
Channel,"Adjusting channels is to avoid interference from nearby wireless devices. 1, 6 and 11 are good because they are 5 channels apart, minimising interference with other channels. Channel range is 1-11."
Characteristic of MIB,OIDs are organized in a hierarchical structure.
Check IP address that is assigned to MAC address,show ip dhcp binding (See show ip dhcp binding for more info)
